category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,fixCrossR_2.started,fixCrossR_2.stopped,image.started,image.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,6.119564300000093,None,6.119564300000093,None,6.152391399999942,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,6.485737099999824,None,6.485737099999824,None,6.652785000000222,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,6.986145199999555,None,6.986145199999555,None,7.15326019999975,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,7.403324400000201,None,7.6537405999997645,None,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,8.004276599999685,None,8.004276599999685,None,8.15379909999956,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,8.487770300000193,None,8.487770300000193,None,8.654422200000226,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,8.98812899999939,None,8.98812899999939,None,9.154727399999501,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,9.405168700000104,None,9.655407399999604,None,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,1,stim//cat2.png,0,2,2,2,0,0,0,0,9.988921399999526,None,9.988921399999526,None,10.155461100000139,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,1,stim//cat2.png,0,2,2,2,1,0,1,0,10.489374400000088,None,10.489374400000088,None,10.655896100000064,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,1,stim//cat2.png,0,2,2,2,2,0,2,0,10.989868799999385,None,10.989868799999385,None,11.15636639999957,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,1,stim//cat2.png,0,2,2,2,,,,,,,,,11.406779099999767,None,11.657127399999808,None,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,0,stim//cat2.png,0,3,3,3,0,0,0,0,11.990641100000175,None,11.990641100000175,None,12.157529000000068,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,0,stim//cat2.png,0,3,3,3,1,0,1,0,12.490854499999841,None,12.490854499999841,None,12.640843099999984,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,0,stim//cat2.png,0,3,3,3,2,0,2,0,12.974715299999843,None,12.974715299999843,None,13.141525000000001,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,2,0,stim//cat2.png,0,3,3,3,,,,,,,,,13.391676399999596,None,13.641641700000037,None,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,1,stim//cat3.png,0,4,4,4,0,0,0,0,13.975613699999485,None,13.975613699999485,None,14.142106399999648,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,1,stim//cat3.png,0,4,4,4,1,0,1,0,14.47581480000008,None,14.47581480000008,None,14.642482899999777,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,1,stim//cat3.png,0,4,4,4,2,0,2,0,14.975991700000122,None,14.975991700000122,None,15.142931899999894,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,1,stim//cat3.png,0,4,4,4,,,,,,,,,15.393065899999783,None,15.64329859999998,None,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,0,stim//cat3.png,0,5,5,5,0,0,0,0,15.976914400000169,None,15.976914400000169,None,16.143773099999635,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,0,stim//cat3.png,0,5,5,5,1,0,1,0,16.47732300000007,None,16.47732300000007,None,16.644199800000024,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,0,stim//cat3.png,0,5,5,5,2,0,2,0,16.97799070000019,None,16.97799070000019,None,17.144911800000045,None,,,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
cat,3,0,stim//cat3.png,0,5,5,5,,,,,,,,,17.394761699999435,None,17.64520639999955,None,,001,2023-10-11_14h42.58.271,untitled,2022.1.4,59.96009056390867,
